subject_nr	trial_nb	version	label	PW_code	PW	C	V	mode	place	voicing	judgment	response_time
1	15	V1_2	a_dangerous_animal	i_occ_vel_NV	ikik	k	i	plosive	posterior	voiceless	0	2970.526052
1	6	V1_2	a_fish	a_frac_alv_NV	asas	s	a	fricative	medium	voiceless	1	3134.709905
1	5	V1_2	a_large_animal	i_occ_bi_NV	ipip	p	i	plosive	anterior	voiceless	2	1427.717217
1	7	V1_2	a_dangerous_animal	i_app_alv	ilil	l	i	sonorant	medium	voiced	2	3005.722566
1	8	V1_2	a_dangerous_animal	u_occ_vel_V	ugug	g	u	plosive	posterior	voiced	2	1728.859943
1	9	V1_2	a_dangerous_animal	i_occ_bi_V	ibib	b	i	plosive	anterior	voiced	2	1828.44319
1	13	V1_2	a_repulsive_animal	i_nas_alv	inin	n	i	sonorant	medium	voiced	4	3042.705872
1	12	V1_2	an_attractive_animal	a_occ_vel_NV	akak	k	a	plosive	posterior	voiceless	5	1851.080517
1	14	V1_2	a_bird	i_occ_alv_NV	itit	t	i	plosive	medium	voiceless	7	2922.42703
1	4	V1_2	a_harmless_animal	u_occ_bi_NV	upup	p	u	plosive	anterior	voiceless	8	1938.50418
1	11	V1_2	a_small_animal	a_occ_bi_V	abab	b	a	plosive	anterior	voiced	8	3008.639635
1	10	V1_2	a_harmless_animal	u_nas_bi	umum	m	u	sonorant	anterior	voiced	10	3142.841346
2	4	V2_1	a_dangerous_animal	i_nas_bi	imim	m	i	sonorant	anterior	voiced	5	2938.939003
2	5	V2_1	a_dangerous_animal	i_occ_bi_NV	ipip	p	i	plosive	anterior	voiceless	5	1924.628634
2	9	V2_1	a_repulsive_animal	i_occ_vel_NV	ikik	k	i	plosive	posterior	voiceless	5	1047.606104
2	12	V2_1	a_dangerous_animal	i_occ_alv_V	idid	d	i	plosive	medium	voiced	5	1653.349388
2	6	V2_1	an_attractive_animal	a_nas_alv	anan	n	a	sonorant	medium	voiced	10	882.9254533
2	7	V2_1	a_harmless_animal	i_occ_vel_V	igig	g	i	plosive	posterior	voiced	10	974.7203891
2	8	V2_1	a_large_animal	a_occ_bi_NV	apap	p	a	plosive	anterior	voiceless	10	999.1319424
2	10	V2_1	a_bird	a_occ_alv_NV	atat	t	a	plosive	medium	voiceless	10	879.888245
2	11	V2_1	a_fish	i_fric_alv_NV	isis	s	i	fricative	medium	voiceless	10	1367.611123
2	13	V2_1	a_harmless_animal	u_occ_bi_V	ubub	b	u	plosive	anterior	voiced	10	709.1013949
2	14	V2_1	a_small_animal	i_occ_bi_V	ibib	b	i	plosive	anterior	voiced	10	1191.301745
2	15	V2_1	a_harmless_animal	u_occ_vel_NV	ukuk	k	u	plosive	posterior	voiceless	10	891.0356006
3	5	V1_2	a_dangerous_animal	u_occ_vel_V	ugug	g	u	plosive	posterior	voiced	5	1574.146382
3	9	V1_2	a_large_animal	i_occ_bi_NV	ipip	p	i	plosive	anterior	voiceless	5	3198.257373
3	12	V1_2	a_dangerous_animal	i_app_alv	ilil	l	i	sonorant	medium	voiced	5	3259.867744
3	11	V1_2	a_dangerous_animal	i_occ_bi_V	ibib	b	i	plosive	anterior	voiced	6	1826.329632
3	10	V1_2	a_dangerous_animal	i_occ_vel_NV	ikik	k	i	plosive	posterior	voiceless	7	2718.611302
3	13	V1_2	a_small_animal	a_occ_bi_V	abab	b	a	plosive	anterior	voiced	7	3062.956506
3	15	V1_2	an_attractive_animal	a_occ_vel_NV	akak	k	a	plosive	posterior	voiceless	7	2884.992475
3	7	V1_2	a_bird	i_occ_alv_NV	itit	t	i	plosive	medium	voiceless	8	2402.865024
5	10	V1_1	a_dangerous_animal	u_occ_bi_NV	upup	p	u	plosive	anterior	voiceless	0	2201.555882
5	13	V1_1	a_harmless_animal	u_occ_vel_V	ugug	g	u	plosive	posterior	voiced	0	1259.899813
5	7	V1_1	a_harmless_animal	i_occ_bi_V	ibib	b	i	plosive	anterior	voiced	1	3373.233634
5	5	V1_1	a_harmless_animal	i_app_alv	ilil	l	i	sonorant	medium	voiced	2	2209.980212
5	15	V1_1	a_dangerous_animal	u_nas_bi	umum	m	u	sonorant	anterior	voiced	2	985.9799764
5	6	V1_1	a_harmless_animal	i_occ_vel_NV	ikik	k	i	plosive	posterior	voiceless	3	1938.315604
5	8	V1_1	a_bird	a_frac_alv_NV	asas	s	a	fricative	medium	voiceless	3	1424.945962
5	4	V1_1	a_repulsive_animal	a_occ_vel_NV	akak	k	a	plosive	posterior	voiceless	4	1897.637076
5	14	V1_1	a_fish	i_occ_alv_NV	itit	t	i	plosive	medium	voiceless	6	1834.818113
5	9	V1_1	an_attractive_animal	i_nas_alv	inin	n	i	sonorant	medium	voiced	8	2560.599986
5	11	V1_1	a_large_animal	a_occ_bi_V	abab	b	a	plosive	anterior	voiced	9	1221.985693
6	5	V2_2	an_attractive_animal	i_occ_vel_NV	ikik	k	i	plosive	posterior	voiceless	3	3010.614669
6	15	V2_2	a_dangerous_animal	i_occ_vel_V	igig	g	i	plosive	posterior	voiced	4	2652.165492
6	6	V2_2	a_fish	a_occ_alv_NV	atat	t	a	plosive	medium	voiceless	5	2917.618291
6	7	V2_2	a_harmless_animal	i_occ_bi_NV	ipip	p	i	plosive	anterior	voiceless	8	3135.902987
6	14	V2_2	a_harmless_animal	i_occ_alv_V	idid	d	i	plosive	medium	voiced	8	2991.200902
6	10	V2_2	a_repulsive_animal	a_nas_alv	anan	n	a	sonorant	medium	voiced	9	1812.632985
6	13	V2_2	a_harmless_animal	i_nas_bi	imim	m	i	sonorant	anterior	voiced	9	1786.946824
6	4	V2_2	a_bird	i_fric_alv_NV	isis	s	i	fricative	medium	voiceless	10	851.0274829
6	8	V2_2	a_dangerous_animal	u_occ_vel_NV	ukuk	k	u	plosive	posterior	voiceless	10	3047.495859
6	12	V2_2	a_dangerous_animal	u_occ_bi_V	ubub	b	u	plosive	anterior	voiced	10	2291.270062
7	10	V1_1	a_dangerous_animal	u_nas_bi	umum	m	u	sonorant	anterior	voiced	1	2066.019246
7	5	V1_1	a_dangerous_animal	u_occ_bi_NV	upup	p	u	plosive	anterior	voiceless	3	2709.726012
7	8	V1_1	a_harmless_animal	i_occ_vel_NV	ikik	k	i	plosive	posterior	voiceless	3	1872.817992
7	4	V1_1	a_large_animal	a_occ_bi_V	abab	b	a	plosive	anterior	voiced	5	3279.334401
7	6	V1_1	a_harmless_animal	i_app_alv	ilil	l	i	sonorant	medium	voiced	7	3383.401346
7	7	V1_1	a_repulsive_animal	a_occ_vel_NV	akak	k	a	plosive	posterior	voiceless	7	2899.075914
7	14	V1_1	an_attractive_animal	i_nas_alv	inin	n	i	sonorant	medium	voiced	7	1607.765011
7	11	V1_1	a_harmless_animal	i_occ_bi_V	ibib	b	i	plosive	anterior	voiced	9	3001.27628
7	13	V1_1	a_small_animal	i_occ_bi_NV	ipip	p	i	plosive	anterior	voiceless	9	2859.367892
8	5	V2_1	a_dangerous_animal	i_nas_bi	imim	m	i	sonorant	anterior	voiced	0	2140.373872
8	8	V2_1	a_dangerous_animal	i_occ_bi_NV	ipip	p	i	plosive	anterior	voiceless	0	1367.634079
8	10	V2_1	a_bird	a_occ_alv_NV	atat	t	a	plosive	medium	voiceless	1	1763.022521
