subject_nr	trial_nb	label	PW_code_left	PW_code_right	chosen_PW_code	chosen_PW	context	contrast	C	V	mode	place	voicing	response_time
10	5	a_bird	a_frac_alv_NV	a_occ_alv_NV	a_occ_alv_NV	atat	a_a_	t-s	t	a	plosive	medium	voiceless	1614.628604
12	11	a_bird	a_occ_alv_NV	a_frac_alv_NV	a_frac_alv_NV	asas	a_a_	t-s	s	a	fricative	medium	voiceless	1376.550361
14	13	a_bird	a_occ_alv_NV	a_frac_alv_NV	a_occ_alv_NV	atat	a_a_	t-s	t	a	plosive	medium	voiceless	1625.844602
16	12	a_bird	a_frac_alv_NV	a_occ_alv_NV	a_occ_alv_NV	atat	a_a_	t-s	t	a	plosive	medium	voiceless	876.6200509
18	12	a_bird	a_occ_alv_NV	a_frac_alv_NV	a_frac_alv_NV	asas	a_a_	t-s	s	a	fricative	medium	voiceless	539.944453
2	5	a_bird	a_occ_alv_NV	a_frac_alv_NV	a_frac_alv_NV	asas	a_a_	t-s	s	a	fricative	medium	voiceless	572.854491
4	4	a_bird	a_frac_alv_NV	a_occ_alv_NV	a_frac_alv_NV	asas	a_a_	t-s	s	a	fricative	medium	voiceless	1961.657761
42	13	a_bird	a_frac_alv_NV	a_occ_alv_NV	a_frac_alv_NV	asas	a_a_	t-s	s	a	fricative	medium	voiceless	692.2803477
44	7	a_bird	a_occ_alv_NV	a_frac_alv_NV	a_frac_alv_NV	asas	a_a_	t-s	s	a	fricative	medium	voiceless	1649.34845
46	4	a_bird	a_frac_alv_NV	a_occ_alv_NV	a_occ_alv_NV	atat	a_a_	t-s	t	a	plosive	medium	voiceless	365.5524303
48	9	a_bird	a_occ_alv_NV	a_frac_alv_NV	a_occ_alv_NV	atat	a_a_	t-s	t	a	plosive	medium	voiceless	631.1422116
50	7	a_bird	a_frac_alv_NV	a_occ_alv_NV	a_occ_alv_NV	atat	a_a_	t-s	t	a	plosive	medium	voiceless	517.044661
52	8	a_bird	a_occ_alv_NV	a_frac_alv_NV	a_frac_alv_NV	asas	a_a_	t-s	s	a	fricative	medium	voiceless	685.4037227
6	6	a_bird	a_frac_alv_NV	a_occ_alv_NV	a_occ_alv_NV	atat	a_a_	t-s	t	a	plosive	medium	voiceless	1012.356866
8	13	a_bird	a_occ_alv_NV	a_frac_alv_NV	a_occ_alv_NV	atat	a_a_	t-s	t	a	plosive	medium	voiceless	544.7628494
22	6	a_fish	a_occ_alv_NV	a_frac_alv_NV	a_frac_alv_NV	asas	a_a_	t-s	s	a	fricative	medium	voiceless	1774.7696
24	9	a_fish	a_frac_alv_NV	a_occ_alv_NV	a_frac_alv_NV	asas	a_a_	t-s	s	a	fricative	medium	voiceless	863.3378436
30	9	a_fish	a_frac_alv_NV	a_occ_alv_NV	a_frac_alv_NV	asas	a_a_	t-s	s	a	fricative	medium	voiceless	930.1402634
32	5	a_fish	a_occ_alv_NV	a_frac_alv_NV	a_frac_alv_NV	asas	a_a_	t-s	s	a	fricative	medium	voiceless	1644.220889
34	6	a_fish	a_frac_alv_NV	a_occ_alv_NV	a_frac_alv_NV	asas	a_a_	t-s	s	a	fricative	medium	voiceless	413.1521039
36	10	a_fish	a_frac_alv_NV	a_occ_alv_NV	a_frac_alv_NV	asas	a_a_	t-s	s	a	fricative	medium	voiceless	479.61205
40	13	a_fish	a_occ_alv_NV	a_frac_alv_NV	a_frac_alv_NV	asas	a_a_	t-s	s	a	fricative	medium	voiceless	195.2307844
54	10	a_fish	a_occ_alv_NV	a_frac_alv_NV	a_frac_alv_NV	asas	a_a_	t-s	s	a	fricative	medium	voiceless	1147.295518
56	8	a_fish	a_occ_alv_NV	a_frac_alv_NV	a_occ_alv_NV	atat	a_a_	t-s	t	a	plosive	medium	voiceless	246.0719084
62	5	a_fish	a_frac_alv_NV	a_occ_alv_NV	a_occ_alv_NV	atat	a_a_	t-s	t	a	plosive	medium	voiceless	861.3634638
68	7	a_fish	a_occ_alv_NV	a_frac_alv_NV	a_frac_alv_NV	asas	a_a_	t-s	s	a	fricative	medium	voiceless	439.3419237
70	10	a_fish	a_frac_alv_NV	a_occ_alv_NV	a_frac_alv_NV	asas	a_a_	t-s	s	a	fricative	medium	voiceless	632.6087047
72	11	a_fish	a_frac_alv_NV	a_occ_alv_NV	a_frac_alv_NV	asas	a_a_	t-s	s	a	fricative	medium	voiceless	723.8536822
74	11	a_fish	a_occ_alv_NV	a_frac_alv_NV	a_frac_alv_NV	asas	a_a_	t-s	s	a	fricative	medium	voiceless	384.1949524
21	8	a_bird	a_frac_alv_NV	i_fric_alv_NV	i_fric_alv_NV	isis	_s_s	i-a	s	i	fricative	medium	voiceless	683.5584225
31	5	a_bird	i_fric_alv_NV	a_frac_alv_NV	i_fric_alv_NV	isis	_s_s	i-a	s	i	fricative	medium	voiceless	962.4985359
33	13	a_bird	i_fric_alv_NV	a_frac_alv_NV	i_fric_alv_NV	isis	_s_s	i-a	s	i	fricative	medium	voiceless	448.0861698
35	13	a_bird	a_frac_alv_NV	i_fric_alv_NV	a_frac_alv_NV	asas	_s_s	i-a	s	a	fricative	medium	voiceless	993.3233221
37	13	a_bird	a_frac_alv_NV	i_fric_alv_NV	a_frac_alv_NV	asas	_s_s	i-a	s	a	fricative	medium	voiceless	1031.359624
41	8	a_bird	a_frac_alv_NV	i_fric_alv_NV	a_frac_alv_NV	asas	_s_s	i-a	s	a	fricative	medium	voiceless	184.5505255
43	9	a_bird	a_frac_alv_NV	i_fric_alv_NV	a_frac_alv_NV	asas	_s_s	i-a	s	a	fricative	medium	voiceless	449.3233519
45	7	a_bird	i_fric_alv_NV	a_frac_alv_NV	i_fric_alv_NV	isis	_s_s	i-a	s	i	fricative	medium	voiceless	201.7329879
49	11	a_bird	i_fric_alv_NV	a_frac_alv_NV	i_fric_alv_NV	isis	_s_s	i-a	s	i	fricative	medium	voiceless	59.7374207
51	13	a_bird	i_fric_alv_NV	a_frac_alv_NV	i_fric_alv_NV	isis	_s_s	i-a	s	i	fricative	medium	voiceless	571.7325354
57	8	a_bird	a_frac_alv_NV	i_fric_alv_NV	i_fric_alv_NV	isis	_s_s	i-a	s	i	fricative	medium	voiceless	2471.4906
61	9	a_bird	a_frac_alv_NV	i_fric_alv_NV	i_fric_alv_NV	isis	_s_s	i-a	s	i	fricative	medium	voiceless	603.9162662
69	8	a_bird	i_fric_alv_NV	a_frac_alv_NV	a_frac_alv_NV	asas	_s_s	i-a	s	a	fricative	medium	voiceless	1292.850142
75	9	a_bird	i_fric_alv_NV	a_frac_alv_NV	a_frac_alv_NV	asas	_s_s	i-a	s	a	fricative	medium	voiceless	1648.369714
9	12	a_bird	a_frac_alv_NV	i_fric_alv_NV	i_fric_alv_NV	isis	_s_s	i-a	s	i	fricative	medium	voiceless	1064.888775
1	4	a_fish	a_frac_alv_NV	i_fric_alv_NV	i_fric_alv_NV	isis	_s_s	i-a	s	i	fricative	medium	voiceless	365.1029446
11	13	a_fish	i_fric_alv_NV	a_frac_alv_NV	i_fric_alv_NV	isis	_s_s	i-a	s	i	fricative	medium	voiceless	531.0257516
13	4	a_fish	i_fric_alv_NV	a_frac_alv_NV	i_fric_alv_NV	isis	_s_s	i-a	s	i	fricative	medium	voiceless	280.7495563
15	8	a_fish	i_fric_alv_NV	a_frac_alv_NV	i_fric_alv_NV	isis	_s_s	i-a	s	i	fricative	medium	voiceless	340.0233802
19	7	a_fish	i_fric_alv_NV	a_frac_alv_NV	i_fric_alv_NV	isis	_s_s	i-a	s	i	fricative	medium	voiceless	893.7224777
23	4	a_fish	i_fric_alv_NV	a_frac_alv_NV	a_frac_alv_NV	asas	_s_s	i-a	s	a	fricative	medium	voiceless	892.1770418
