subject_nr	trial_nb	PW_code	PW	V	C	mode	place	voicing	label_left	label_right	chosen_label	response_time
1	10	a_occ_vel_NV	akak	a	k	plosive	posterior	voiceless	a_repulsive_animal	an_attractive_animal	a_repulsive_animal	1787.994612
2	12	a_nas_alv	anan	a	n	sonorant	medium	voiced	a_repulsive_animal	an_attractive_animal	an_attractive_animal	942.1591001
4	10	i_occ_vel_NV	ikik	i	k	plosive	posterior	voiceless	a_repulsive_animal	an_attractive_animal	an_attractive_animal	1662.0987
8	14	a_nas_alv	anan	a	n	sonorant	medium	voiced	a_repulsive_animal	an_attractive_animal	an_attractive_animal	1296.235392
11	12	i_nas_alv	inin	i	n	sonorant	medium	voiced	a_repulsive_animal	an_attractive_animal	a_repulsive_animal	697.7951199
12	8	i_occ_vel_NV	ikik	i	k	plosive	posterior	voiceless	a_repulsive_animal	an_attractive_animal	an_attractive_animal	1335.612958
16	8	i_occ_vel_NV	ikik	i	k	plosive	posterior	voiceless	a_repulsive_animal	an_attractive_animal	an_attractive_animal	2377.968149
18	10	a_nas_alv	anan	a	n	sonorant	medium	voiced	a_repulsive_animal	an_attractive_animal	an_attractive_animal	854.2155061
18	13	i_occ_vel_NV	ikik	i	k	plosive	posterior	voiceless	a_repulsive_animal	an_attractive_animal	a_repulsive_animal	411.6271763
19	11	i_nas_alv	inin	i	n	sonorant	medium	voiced	a_repulsive_animal	an_attractive_animal	a_repulsive_animal	1992.842971
20	6	a_nas_alv	anan	a	n	sonorant	medium	voiced	a_repulsive_animal	an_attractive_animal	an_attractive_animal	2338.443258
20	15	i_occ_vel_NV	ikik	i	k	plosive	posterior	voiceless	a_repulsive_animal	an_attractive_animal	a_repulsive_animal	1419.266241
21	7	a_occ_vel_NV	akak	a	k	plosive	posterior	voiceless	a_repulsive_animal	an_attractive_animal	a_repulsive_animal	1209.040674
21	10	i_nas_alv	inin	i	n	sonorant	medium	voiced	a_repulsive_animal	an_attractive_animal	an_attractive_animal	2005.367937
22	13	a_nas_alv	anan	a	n	sonorant	medium	voiced	a_repulsive_animal	an_attractive_animal	an_attractive_animal	1117.488107
23	10	a_occ_vel_NV	akak	a	k	plosive	posterior	voiceless	a_repulsive_animal	an_attractive_animal	a_repulsive_animal	988.9870211
24	5	i_occ_vel_NV	ikik	i	k	plosive	posterior	voiceless	a_repulsive_animal	an_attractive_animal	an_attractive_animal	629.368981
24	9	a_nas_alv	anan	a	n	sonorant	medium	voiced	a_repulsive_animal	an_attractive_animal	a_repulsive_animal	1401.372674
26	11	a_nas_alv	anan	a	n	sonorant	medium	voiced	a_repulsive_animal	an_attractive_animal	a_repulsive_animal	1998.518802
27	9	i_nas_alv	inin	i	n	sonorant	medium	voiced	a_repulsive_animal	an_attractive_animal	an_attractive_animal	2061.500857
28	14	a_nas_alv	anan	a	n	sonorant	medium	voiced	a_repulsive_animal	an_attractive_animal	a_repulsive_animal	423.3949903
32	8	i_occ_vel_NV	ikik	i	k	plosive	posterior	voiceless	a_repulsive_animal	an_attractive_animal	a_repulsive_animal	536.127972
32	9	a_nas_alv	anan	a	n	sonorant	medium	voiced	a_repulsive_animal	an_attractive_animal	a_repulsive_animal	706.9511375
33	11	a_occ_vel_NV	akak	a	k	plosive	posterior	voiceless	a_repulsive_animal	an_attractive_animal	a_repulsive_animal	1259.541394
34	11	a_nas_alv	anan	a	n	sonorant	medium	voiced	a_repulsive_animal	an_attractive_animal	a_repulsive_animal	2006.673191
35	7	i_nas_alv	inin	i	n	sonorant	medium	voiced	a_repulsive_animal	an_attractive_animal	an_attractive_animal	1686.136423
35	11	a_occ_vel_NV	akak	a	k	plosive	posterior	voiceless	a_repulsive_animal	an_attractive_animal	a_repulsive_animal	2214.563854
38	9	i_occ_vel_NV	ikik	i	k	plosive	posterior	voiceless	a_repulsive_animal	an_attractive_animal	a_repulsive_animal	2334.736593
40	5	i_occ_vel_NV	ikik	i	k	plosive	posterior	voiceless	a_repulsive_animal	an_attractive_animal	a_repulsive_animal	563.823807
40	8	a_nas_alv	anan	a	n	sonorant	medium	voiced	a_repulsive_animal	an_attractive_animal	an_attractive_animal	1410.011565
41	12	i_nas_alv	inin	i	n	sonorant	medium	voiced	a_repulsive_animal	an_attractive_animal	a_repulsive_animal	858.4214919
42	6	i_occ_vel_NV	ikik	i	k	plosive	posterior	voiceless	a_repulsive_animal	an_attractive_animal	a_repulsive_animal	1582.401132
42	11	a_nas_alv	anan	a	n	sonorant	medium	voiced	a_repulsive_animal	an_attractive_animal	a_repulsive_animal	838.5584683
43	11	a_occ_vel_NV	akak	a	k	plosive	posterior	voiceless	a_repulsive_animal	an_attractive_animal	a_repulsive_animal	1887.643262
44	10	i_occ_vel_NV	ikik	i	k	plosive	posterior	voiceless	a_repulsive_animal	an_attractive_animal	an_attractive_animal	1026.708111
44	14	a_nas_alv	anan	a	n	sonorant	medium	voiced	a_repulsive_animal	an_attractive_animal	a_repulsive_animal	774.910302
45	5	i_nas_alv	inin	i	n	sonorant	medium	voiced	a_repulsive_animal	an_attractive_animal	an_attractive_animal	832.4406145
45	12	a_occ_vel_NV	akak	a	k	plosive	posterior	voiceless	a_repulsive_animal	an_attractive_animal	a_repulsive_animal	1231.883786
47	7	i_nas_alv	inin	i	n	sonorant	medium	voiced	a_repulsive_animal	an_attractive_animal	an_attractive_animal	2355.921236
48	7	a_nas_alv	anan	a	n	sonorant	medium	voiced	a_repulsive_animal	an_attractive_animal	an_attractive_animal	760.8973022
50	15	i_occ_vel_NV	ikik	i	k	plosive	posterior	voiceless	a_repulsive_animal	an_attractive_animal	a_repulsive_animal	688.6300654
51	15	a_occ_vel_NV	akak	a	k	plosive	posterior	voiceless	a_repulsive_animal	an_attractive_animal	a_repulsive_animal	1696.980691
53	7	a_occ_vel_NV	akak	a	k	plosive	posterior	voiceless	a_repulsive_animal	an_attractive_animal	a_repulsive_animal	1153.077957
55	12	a_occ_vel_NV	akak	a	k	plosive	posterior	voiceless	a_repulsive_animal	an_attractive_animal	a_repulsive_animal	1752.927461
57	8	a_occ_vel_NV	akak	a	k	plosive	posterior	voiceless	a_repulsive_animal	an_attractive_animal	a_repulsive_animal	725.2009604
59	6	i_nas_alv	inin	i	n	sonorant	medium	voiced	a_repulsive_animal	an_attractive_animal	an_attractive_animal	924.0999059
1	6	i_nas_alv	inin	i	n	sonorant	medium	voiced	an_attractive_animal	a_repulsive_animal	a_repulsive_animal	1699.868268
2	4	i_occ_vel_NV	ikik	i	k	plosive	posterior	voiceless	an_attractive_animal	a_repulsive_animal	a_repulsive_animal	811.8106542
4	11	a_nas_alv	anan	a	n	sonorant	medium	voiced	an_attractive_animal	a_repulsive_animal	a_repulsive_animal	615.9216587
5	4	i_nas_alv	inin	i	n	sonorant	medium	voiced	an_attractive_animal	a_repulsive_animal	an_attractive_animal	717.1586283
5	10	a_occ_vel_NV	akak	a	k	plosive	posterior	voiceless	an_attractive_animal	a_repulsive_animal	a_repulsive_animal	1578.892028
6	5	a_nas_alv	anan	a	n	sonorant	medium	voiced	an_attractive_animal	a_repulsive_animal	a_repulsive_animal	1690.45501
6	15	i_occ_vel_NV	ikik	i	k	plosive	posterior	voiceless	an_attractive_animal	a_repulsive_animal	a_repulsive_animal	1656.133185
8	11	i_occ_vel_NV	ikik	i	k	plosive	posterior	voiceless	an_attractive_animal	a_repulsive_animal	a_repulsive_animal	1126.899379
9	4	a_occ_vel_NV	akak	a	k	plosive	posterior	voiceless	an_attractive_animal	a_repulsive_animal	an_attractive_animal	879.9970998
9	9	i_nas_alv	inin	i	n	sonorant	medium	voiced	an_attractive_animal	a_repulsive_animal	an_attractive_animal	597.0345572
10	5	i_occ_vel_NV	ikik	i	k	plosive	posterior	voiceless	an_attractive_animal	a_repulsive_animal	a_repulsive_animal	2119.533777
10	10	a_nas_alv	anan	a	n	sonorant	medium	voiced	an_attractive_animal	a_repulsive_animal	an_attractive_animal	1622.412248
11	11	a_occ_vel_NV	akak	a	k	plosive	posterior	voiceless	an_attractive_animal	a_repulsive_animal	a_repulsive_animal	1381.98566
12	15	a_nas_alv	anan	a	n	sonorant	medium	voiced	an_attractive_animal	a_repulsive_animal	an_attractive_animal	400.1490468
13	9	a_occ_vel_NV	akak	a	k	plosive	posterior	voiceless	an_attractive_animal	a_repulsive_animal	a_repulsive_animal	941.1149114
13	15	i_nas_alv	inin	i	n	sonorant	medium	voiced	an_attractive_animal	a_repulsive_animal	a_repulsive_animal	438.877388
14	6	i_occ_vel_NV	ikik	i	k	plosive	posterior	voiceless	an_attractive_animal	a_repulsive_animal	None	2500.031617
14	7	a_nas_alv	anan	a	n	sonorant	medium	voiced	an_attractive_animal	a_repulsive_animal	an_attractive_animal	570.277968
15	9	i_nas_alv	inin	i	n	sonorant	medium	voiced	an_attractive_animal	a_repulsive_animal	a_repulsive_animal	563.7314283
15	12	a_occ_vel_NV	akak	a	k	plosive	posterior	voiceless	an_attractive_animal	a_repulsive_animal	an_attractive_animal	1698.048718
16	4	a_nas_alv	anan	a	n	sonorant	medium	voiced	an_attractive_animal	a_repulsive_animal	None	2500.024002
17	12	i_nas_alv	inin	i	n	sonorant	medium	voiced	an_attractive_animal	a_repulsive_animal	None	2500.028637
17	14	a_occ_vel_NV	akak	a	k	plosive	posterior	voiceless	an_attractive_animal	a_repulsive_animal	a_repulsive_animal	1040.044668
19	4	a_occ_vel_NV	akak	a	k	plosive	posterior	voiceless	an_attractive_animal	a_repulsive_animal	a_repulsive_animal	1400.673128
22	10	i_occ_vel_NV	ikik	i	k	plosive	posterior	voiceless	an_attractive_animal	a_repulsive_animal	an_attractive_animal	1672.22541
23	9	i_nas_alv	inin	i	n	sonorant	medium	voiced	an_attractive_animal	a_repulsive_animal	a_repulsive_animal	2175.229025
26	8	i_occ_vel_NV	ikik	i	k	plosive	posterior	voiceless	an_attractive_animal	a_repulsive_animal	an_attractive_animal	1251.296214
27	8	a_occ_vel_NV	akak	a	k	plosive	posterior	voiceless	an_attractive_animal	a_repulsive_animal	a_repulsive_animal	2380.769647
28	4	i_occ_vel_NV	ikik	i	k	plosive	posterior	voiceless	an_attractive_animal	a_repulsive_animal	an_attractive_animal	700.3267973
