subject_nr	trial_nb	PW_code_left	PW_code_right	label_left	label_right	chosen_label	chosen_PW_code	chosen_PW	context	contrast	C	V	mode	place	voicing	response_time
2	6	a_occ_alv_NV	a_frac_alv_NV	a_fish	a_bird	a_fish	a_frac_alv_NV	asas	a_a_	t-s	s	a	fricative	medium	voiceless	618.3040621
4	10	a_frac_alv_NV	a_occ_alv_NV	a_bird	a_fish	a_bird	a_frac_alv_NV	asas	a_a_	t-s	s	a	fricative	medium	voiceless	559.7247862
6	10	a_occ_alv_NV	a_frac_alv_NV	a_fish	a_bird	a_fish	a_occ_alv_NV	atat	a_a_	t-s	t	a	plosive	medium	voiceless	471.2427263
8	8	a_frac_alv_NV	a_occ_alv_NV	a_bird	a_fish	a_bird	a_occ_alv_NV	atat	a_a_	t-s	t	a	plosive	medium	voiceless	593.8212633
10	7	a_occ_alv_NV	a_frac_alv_NV	a_bird	a_fish	a_bird	a_occ_alv_NV	atat	a_a_	t-s	t	a	plosive	medium	voiceless	410.4591708
12	7	a_occ_alv_NV	a_frac_alv_NV	a_fish	a_bird	a_fish	a_frac_alv_NV	asas	a_a_	t-s	s	a	fricative	medium	voiceless	1289.593271
16	12	a_occ_alv_NV	a_frac_alv_NV	a_fish	a_bird	a_fish	a_frac_alv_NV	asas	a_a_	t-s	s	a	fricative	medium	voiceless	966.4881966
20	4	a_occ_alv_NV	a_frac_alv_NV	a_fish	a_bird	a_fish	a_frac_alv_NV	asas	a_a_	t-s	s	a	fricative	medium	voiceless	773.08766
22	8	a_occ_alv_NV	a_frac_alv_NV	a_bird	a_fish	a_bird	a_occ_alv_NV	atat	a_a_	t-s	t	a	plosive	medium	voiceless	417.1216704
24	8	a_occ_alv_NV	a_frac_alv_NV	a_fish	a_bird	a_bird	a_frac_alv_NV	asas	a_a_	t-s	s	a	fricative	medium	voiceless	1665.970863
26	5	a_frac_alv_NV	a_occ_alv_NV	a_bird	a_fish	a_fish	a_occ_alv_NV	atat	a_a_	t-s	t	a	plosive	medium	voiceless	891.0484001
28	6	a_occ_alv_NV	a_frac_alv_NV	a_fish	a_bird	a_fish	a_frac_alv_NV	asas	a_a_	t-s	s	a	fricative	medium	voiceless	986.286653
30	12	a_frac_alv_NV	a_occ_alv_NV	a_bird	a_fish	a_fish	a_occ_alv_NV	atat	a_a_	t-s	t	a	plosive	medium	voiceless	422.8608092
32	6	a_occ_alv_NV	a_frac_alv_NV	a_bird	a_fish	a_fish	a_frac_alv_NV	asas	a_a_	t-s	s	a	fricative	medium	voiceless	2598.001524
36	9	a_frac_alv_NV	a_occ_alv_NV	a_bird	a_fish	a_bird	a_occ_alv_NV	atat	a_a_	t-s	t	a	plosive	medium	voiceless	924.6166842
38	9	a_frac_alv_NV	a_occ_alv_NV	a_fish	a_bird	a_fish	a_frac_alv_NV	asas	a_a_	t-s	s	a	fricative	medium	voiceless	703.5512852
46	8	a_occ_alv_NV	a_frac_alv_NV	a_fish	a_bird	a_fish	a_occ_alv_NV	atat	a_a_	t-s	t	a	plosive	medium	voiceless	496.6270354
50	7	a_frac_alv_NV	a_occ_alv_NV	a_bird	a_fish	a_bird	a_frac_alv_NV	asas	a_a_	t-s	s	a	fricative	medium	voiceless	889.8044908
